"prompt","complexity_label","small_sufficient","large_sufficient","notes"
"Analyze when to prefer a large local model over a small cloud model.","low","true","true","cosine_sim=0.9201; method=long_cosine; short_output=false; substring_match=false"
"Propose thresholds for escalating from small to large local inference.","high","false","true","cosine_sim=0.6584; method=long_cosine; short_output=false; substring_match=false"
"Compare linear models vs gradient boosting for interpretable routing.","high","false","true","cosine_sim=0.8272; method=long_cosine; short_output=false; substring_match=false"
"Design structured telemetry to explain every routing decision to SREs.","high","false","true","cosine_sim=0.8091; method=long_cosine; short_output=false; substring_match=false"
"Debug feature drift between training prompts and production traffic.","low","true","true","cosine_sim=0.9186; method=long_cosine; short_output=false; substring_match=false"
"Analyze failure modes when routers ignore sensitivity hard rules.","low","true","true","cosine_sim=0.8795; method=long_cosine; short_output=false; substring_match=false"
"Plan how to validate privacy guarantees before enabling cloud routing.","low","true","true","cosine_sim=0.8906; method=long_cosine; short_output=false; substring_match=false"
"Compare OpenTelemetry vs custom SQLite telemetry for this SDK.","low","true","true","cosine_sim=0.9517; method=long_cosine; short_output=false; substring_match=false"
"Design a 3-tier routing policy for complexity, sensitivity, and cost caps.","low","true","true","cosine_sim=0.9078; method=long_cosine; short_output=false; substring_match=false"
"Debug why multi-part GGUF shards fail to load on certain machines.","high","false","true","cosine_sim=0.7915; method=long_cosine; short_output=false; substring_match=false"
"Analyze latency budget for regex gate plus classifier plus local inference.","low","true","true","cosine_sim=0.9573; method=long_cosine; short_output=false; substring_match=false"
"Propose a human review workflow for disputed labeling edge cases.","low","true","true","cosine_sim=0.9016; method=long_cosine; short_output=false; substring_match=false"
"Compare INT8 vs FP16 quantization for on-device inference quality.","high","false","true","cosine_sim=0.7501; method=long_cosine; short_output=false; substring_match=false"
"Design an SDK surface that exposes routing reasons without leaking PII.","low","true","true","cosine_sim=0.8939; method=long_cosine; short_output=false; substring_match=false"
"Debug tokenizer mismatches between training data and production prompts.","low","true","true","cosine_sim=0.8700; method=long_cosine; short_output=false; substring_match=false"
"Analyze how to preserve test coverage while refactoring the routing engine.","low","true","true","cosine_sim=0.8877; method=long_cosine; short_output=false; substring_match=false"
"Plan documentation for operators tuning complexity thresholds in production.","low","true","true","cosine_sim=0.9354; method=long_cosine; short_output=false; substring_match=false"
"Compare shadow routing vs live routing for safe classifier rollouts.","low","true","true","cosine_sim=0.8973; method=long_cosine; short_output=false; substring_match=false"
