"prompt","ground_truth_hard","sensitivity_flag","target","reason","complexity_level","complexity_score","input_tokens_est"
"Analyze how to keep all seven router tests passing during migration.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.772; confidence=0.772; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7718113438729756","17"
"Plan documentation metrics for classifier accuracy and cost savings.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.722; confidence=0.722; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7219598000274022","17"
"What is the capital of Germany?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.215; confidence=0.785; complexity=LOW; sensitivity=HIGH -> small_local","low","0.2149081696910934","7"
"How many seconds are in a minute?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.259; confidence=0.741; complexity=LOW; sensitivity=LOW -> small_local","low","0.25855178671371815","8"
"What is the chemical symbol for iron?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.307; confidence=0.693; complexity=LOW; sensitivity=LOW -> small_local","low","0.30682391821871013","9"
"Who painted The Starry Night?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.177; confidence=0.823; complexity=LOW; sensitivity=LOW -> small_local","low","0.17687417993812227","7"
"What is 25 multiplied by 4?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.177; confidence=0.823; complexity=LOW; sensitivity=LOW -> small_local","low","0.177396181059299","6"
"How many bones are in the adult human body?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.447; confidence=0.553; complexity=LOW; sensitivity=LOW -> small_local","low","0.4472966849615133","10"
"What planet is known as the Red Planet?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.361; confidence=0.639; complexity=LOW; sensitivity=HIGH -> small_local","low","0.3605611417699647","9"
"What is the largest desert in the world?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.374; confidence=0.626; complexity=LOW; sensitivity=LOW -> small_local","low","0.3744191603928093","10"
"Who discovered gravity?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.105; confidence=0.895; complexity=LOW; sensitivity=LOW -> small_local","low","0.10516759665074382","5"
"What is the melting point of ice in Celsius?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.462; confidence=0.538; complexity=LOW; sensitivity=LOW -> small_local","low","0.462079348059673","11"
"How many sides does a pentagon have?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.294; confidence=0.706; complexity=LOW; sensitivity=HIGH -> small_local","low","0.294290802769676","9"
"What year did the Titanic sink?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.215; confidence=0.785; complexity=LOW; sensitivity=HIGH -> small_local","low","0.2149081696910934","7"
"What is the speed of sound in air at sea level?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.568; confidence=0.568; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5677217318683192","11"
"What is the deepest ocean trench called?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.346; confidence=0.654; complexity=LOW; sensitivity=LOW -> small_local","low","0.34612062201812444","10"
"How many bits are in a byte?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.206; confidence=0.794; complexity=LOW; sensitivity=LOW -> small_local","low","0.20560345706795258","7"
"What language is spoken in Mexico?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.247; confidence=0.753; complexity=LOW; sensitivity=HIGH -> small_local","low","0.24662104925416417","8"
"What is the cube root of 27?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.206; confidence=0.794; complexity=LOW; sensitivity=LOW -> small_local","low","0.20560345706795258","7"
"Who invented the light bulb?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.168; confidence=0.832; complexity=LOW; sensitivity=LOW -> small_local","low","0.1683599794831957","7"
"What is CO2 commonly known as?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.205; confidence=0.795; complexity=LOW; sensitivity=LOW -> small_local","low","0.20501914073012206","7"
"How many moons does Earth have?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.215; confidence=0.785; complexity=LOW; sensitivity=HIGH -> small_local","low","0.2149081696910934","7"
"What is the currency of Japan?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.205; confidence=0.795; complexity=LOW; sensitivity=HIGH -> small_local","low","0.20501914073012206","7"
"What color do you get by mixing yellow and blue?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.552; confidence=0.552; complexity=HIGH; sensitivity=LOW -> cloud","high","0.552148608998123","12"
"How many ounces are in a pound?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.236; confidence=0.764; complexity=LOW; sensitivity=LOW -> small_local","low","0.23635665305772224","7"
"What is the capital of India?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.195; confidence=0.805; complexity=LOW; sensitivity=HIGH -> small_local","low","0.19547185986124738","7"
"Who was the first woman to win a Nobel Prize?","False","False","small_local","classifier:small_sufficient=False; complexity_score=0.508; confidence=0.508; complexity=LOW; sensitivity=LOW -> small_local","low","0.5076197365942953","11"
"What is the boiling point of water in Fahrenheit?","False","True","small_local","classifier:small_sufficient=False; complexity_score=0.536; confidence=0.536; complexity=LOW; sensitivity=HIGH -> small_local","low","0.5364725195552027","12"
"How many teeth does an adult human typically have?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.551; confidence=0.551; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5512628635293966","12"
"What is the fastest land animal?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.225; confidence=0.775; complexity=LOW; sensitivity=LOW -> small_local","low","0.2251391076125452","8"
"What gas do humans exhale?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.152; confidence=0.848; complexity=LOW; sensitivity=LOW -> small_local","low","0.15231673798694945","6"
"How many time zones does Russia span?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.307; confidence=0.693; complexity=LOW; sensitivity=HIGH -> small_local","low","0.30682391821871013","9"
"What is the largest internal organ in the human body?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.624; confidence=0.624; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6242155120728503","13"
"Who developed the polio vaccine?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.204; confidence=0.796; complexity=LOW; sensitivity=LOW -> small_local","low","0.20443605764257822","8"
"What is the main ingredient in guacamole?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.360; confidence=0.640; complexity=LOW; sensitivity=LOW -> small_local","low","0.35973586610485053","10"
"How many months have 31 days?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.195; confidence=0.805; complexity=LOW; sensitivity=LOW -> small_local","low","0.19547185986124738","7"
"What is the capital of Brazil?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.205; confidence=0.795; complexity=LOW; sensitivity=HIGH -> small_local","low","0.20501914073012206","7"
"What instrument is known as the king of instruments?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.581; confidence=0.581; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5805481805313621","13"
"How many millimeters are in a centimeter?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.360; confidence=0.640; complexity=LOW; sensitivity=LOW -> small_local","low","0.35973586610485053","10"
"What is the chemical formula for methane?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.360; confidence=0.640; complexity=LOW; sensitivity=LOW -> small_local","low","0.35973586610485053","10"
"Who wrote Pride and Prejudice?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.186; confidence=0.814; complexity=LOW; sensitivity=LOW -> small_local","low","0.18572279894418386","7"
"What is the smallest country by area?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.307; confidence=0.693; complexity=LOW; sensitivity=LOW -> small_local","low","0.30682391821871013","9"
"How many days are in a non-leap year February?","False","False","small_local","classifier:small_sufficient=False; complexity_score=0.523; confidence=0.523; complexity=LOW; sensitivity=LOW -> small_local","low","0.5225113028050725","11"
"What is the primary language of South Korea?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.432; confidence=0.568; complexity=LOW; sensitivity=HIGH -> small_local","low","0.4317277688766217","11"
"What is 81 divided by 9?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.153; confidence=0.847; complexity=LOW; sensitivity=LOW -> small_local","low","0.15277971587606531","6"
"What organ filters blood in the human body?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.417; confidence=0.583; complexity=LOW; sensitivity=LOW -> small_local","low","0.4171630842241627","10"
"How many degrees are in a straight angle?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.388; confidence=0.612; complexity=LOW; sensitivity=LOW -> small_local","low","0.38848621262278304","10"
"What is the capital of Egypt?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.195; confidence=0.805; complexity=LOW; sensitivity=HIGH -> small_local","low","0.19547185986124738","7"
"Who discovered radium?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.100; confidence=0.900; complexity=LOW; sensitivity=LOW -> small_local","low","0.09968710562991323","5"
"What is the softest mineral on the Mohs scale?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.492; confidence=0.508; complexity=LOW; sensitivity=HIGH -> small_local","low","0.4918195311954726","11"
"How many players are on a basketball team?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.403; confidence=0.597; complexity=LOW; sensitivity=LOW -> small_local","low","0.40274152418411224","10"
"What is the atomic number of oxygen?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.294; confidence=0.706; complexity=LOW; sensitivity=LOW -> small_local","low","0.294290802769676","9"
"Explain how vaccines create immunity in simple terms.","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.489; confidence=0.511; complexity=LOW; sensitivity=LOW -> small_local","low","0.4889273963894111","13"
"What is the difference between evaporation and condensation?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.664; confidence=0.664; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6635582855378769","15"
"Describe what a load balancer does to a non-technical person.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.686; confidence=0.686; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6862169161746594","15"
"How does a microwave oven heat food?","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.294; confidence=0.706; complexity=LOW; sensitivity=LOW -> small_local","low","0.294290802769676","9"
"Explain the concept of opportunity cost.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.256; confidence=0.744; complexity=LOW; sensitivity=LOW -> small_local","low","0.2563394437669865","10"
"What is deep learning in plain English?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.333; confidence=0.667; complexity=LOW; sensitivity=LOW -> small_local","low","0.3327528743798074","9"
"Describe how antibiotics fight bacterial infections.","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.409; confidence=0.591; complexity=LOW; sensitivity=LOW -> small_local","low","0.4089552136554766","13"
"What is the difference between CPU and GPU?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.417; confidence=0.583; complexity=LOW; sensitivity=HIGH -> small_local","low","0.4171630842241627","10"
"Explain how tides are caused.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.137; confidence=0.863; complexity=LOW; sensitivity=LOW -> small_local","low","0.1366041297408077","7"
"What does compound interest mean for savers?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.402; confidence=0.598; complexity=LOW; sensitivity=LOW -> small_local","low","0.4018803809336725","11"
"Describe the carbon cycle briefly.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.173; confidence=0.827; complexity=LOW; sensitivity=LOW -> small_local","low","0.17302135553875198","8"
"How does Wi-Fi transmit data wirelessly?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.346; confidence=0.654; complexity=LOW; sensitivity=LOW -> small_local","low","0.34612062201812444","10"
"Explain what database normalization achieves.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.291; confidence=0.709; complexity=LOW; sensitivity=LOW -> small_local","low","0.2911533745421365","11"
"What is the difference between GET and POST in HTTP?","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.610; confidence=0.610; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6101291323108732","13"
"Describe how hybrid cars combine power sources.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.367; confidence=0.633; complexity=LOW; sensitivity=LOW -> small_local","low","0.3673553327703445","11"
"Explain what a decision tree is at a high level.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.476; confidence=0.524; complexity=LOW; sensitivity=LOW -> small_local","low","0.4758288765823947","12"
"How do operating systems manage memory?","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.306; confidence=0.694; complexity=LOW; sensitivity=LOW -> small_local","low","0.3060627680540159","9"
"What is the purpose of a digital signature?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.417; confidence=0.583; complexity=LOW; sensitivity=LOW -> small_local","low","0.4171630842241627","10"
"Explain how tariffs affect international trade.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.344; confidence=0.656; complexity=LOW; sensitivity=LOW -> small_local","low","0.34350612401548275","11"
"Describe what refactoring means in software.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.300; confidence=0.700; complexity=LOW; sensitivity=LOW -> small_local","low","0.30042293110005025","11"
"How does RSA encryption work conceptually?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.345; confidence=0.655; complexity=LOW; sensitivity=LOW -> small_local","low","0.34531054975380815","10"
"Explain the difference between sensitivity and specificity.","False","False","small_local","classifier:small_sufficient=False; complexity_score=0.548; confidence=0.548; complexity=LOW; sensitivity=LOW -> small_local","low","0.5475113086822412","14"
"What happens during a lunar eclipse?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.269; confidence=0.731; complexity=LOW; sensitivity=LOW -> small_local","low","0.26943997300424216","9"
"Describe how autoscaling helps cloud applications.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.380; confidence=0.620; complexity=LOW; sensitivity=LOW -> small_local","low","0.3804742444528879","12"
"Explain what a bond yield represents in finance.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.415; confidence=0.585; complexity=LOW; sensitivity=LOW -> small_local","low","0.4152213227263152","12"
"How does a B-tree index speed up queries?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.418; confidence=0.582; complexity=LOW; sensitivity=LOW -> small_local","low","0.4180340873074567","10"
"What is the difference between IPv4 and IPv6?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.446; confidence=0.554; complexity=LOW; sensitivity=HIGH -> small_local","low","0.446411480285707","11"
"Explain how a heat pump transfers warmth.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.293; confidence=0.707; complexity=LOW; sensitivity=LOW -> small_local","low","0.29263381435421076","10"
"Describe what user stories aim to capture.","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.301; confidence=0.699; complexity=LOW; sensitivity=LOW -> small_local","low","0.3011761428340234","10"
"How does memoization reduce computation time?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.387; confidence=0.613; complexity=LOW; sensitivity=LOW -> small_local","low","0.3867860062542021","11"
"Explain the role of ribosomes in protein synthesis.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.459; confidence=0.541; complexity=LOW; sensitivity=LOW -> small_local","low","0.4592040681192532","12"
"What is the difference between mean and median?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.476; confidence=0.524; complexity=LOW; sensitivity=LOW -> small_local","low","0.4760356510884848","11"
"Describe how anycast routing reduces latency.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.313; confidence=0.687; complexity=LOW; sensitivity=LOW -> small_local","low","0.31310133356441894","11"
"Explain what system design interviews typically assess.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.493; confidence=0.507; complexity=LOW; sensitivity=LOW -> small_local","low","0.4927062393269489","13"
"How does active noise control work in earbuds?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.461; confidence=0.539; complexity=LOW; sensitivity=LOW -> small_local","low","0.46118929947189713","11"
"What is the difference between a heap and a stack?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.581; confidence=0.581; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5814200129292015","12"
"Explain how wind turbines generate electricity.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.344; confidence=0.656; complexity=LOW; sensitivity=LOW -> small_local","low","0.34350612401548275","11"
"Describe what vendor due diligence involves.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.300; confidence=0.700; complexity=LOW; sensitivity=LOW -> small_local","low","0.30042293110005025","11"
"How does a skip list provide ordered lookups?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.446; confidence=0.554; complexity=LOW; sensitivity=LOW -> small_local","low","0.446411480285707","11"
"Explain the basics of functional programming.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.317; confidence=0.683; complexity=LOW; sensitivity=LOW -> small_local","low","0.3171375044891931","11"
"What is the difference between bandwidth and throughput?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.608; confidence=0.608; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6084240247837803","14"
"Describe how intrusion detection systems work.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.326; confidence=0.674; complexity=LOW; sensitivity=LOW -> small_local","low","0.3260654059996838","11"
"Explain what acceptance criteria document.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.256; confidence=0.744; complexity=LOW; sensitivity=LOW -> small_local","low","0.2556573418167146","10"
"How does a publish-subscribe pattern decouple components?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.623; confidence=0.623; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6225338974114899","14"
"What is the difference between OLTP and OLAP?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.446; confidence=0.554; complexity=LOW; sensitivity=HIGH -> small_local","low","0.446411480285707","11"
"Describe how semantic versioning helps API consumers.","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.454; confidence=0.546; complexity=LOW; sensitivity=HIGH -> small_local","low","0.45367563200976535","13"
"Explain what operational risk means in production systems.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.563; confidence=0.563; complexity=HIGH; sensitivity=LOW -> cloud","high","0.563118094713594","14"
"How does a circuit breaker prevent cascading failures?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.580; confidence=0.580; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5796758450015174","13"
"What is the difference between supervised and unsupervised learning?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.782; confidence=0.782; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7822831272657044","17"
"Describe how accessibility standards improve web products.","True","False","small_local","classifier:small_sufficient=False; complexity_score=0.528; confidence=0.528; complexity=LOW; sensitivity=LOW -> small_local","low","0.5280439618177645","14"
"Compare serverless and container-based deployment for a seed-stage startup.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.837; confidence=0.837; complexity=HIGH; sensitivity=LOW -> cloud","high","0.83698189429999","18"
"A payment webhook fails intermittently. Outline a debugging plan.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.685; confidence=0.685; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6846725968523959","16"
"Design a token bucket rate limiter for a public API gateway.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.677; confidence=0.677; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6773388263628505","15"
"Given strict latency SLOs, propose three ways to speed up routing decisions.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.858; confidence=0.858; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8581118138083512","19"
"Analyze tradeoffs between columnar and row storage for event analytics.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.782; confidence=0.782; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7815310465311122","17"
"Debug why unit tests pass in CI but integration tests fail on staging.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.832; confidence=0.832; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.8323229518859672","17"
"Compare federated learning vs centralized training for a hospital consortium.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.836; confidence=0.836; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8364926629787126","19"
"Plan a blue-green deployment for a stateful chat service.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.604; confidence=0.604; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6037611880026006","14"
"Evaluate whether to use Redis or Memcached for session caching.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.689; confidence=0.689; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6894635177595454","15"
"Trace through why a merge sort might degrade on nearly sorted input.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.796; confidence=0.796; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7957759772243435","17"
"Design a cache invalidation strategy for a news aggregation feed.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.714; confidence=0.714; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7144022927954264","16"
"Compare push vs pull notification architectures for mobile clients.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.714; confidence=0.714; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7136710374327124","16"
"Analyze security risks of logging raw request payloads in production.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.760; confidence=0.760; complexity=HIGH; sensitivity=LOW -> cloud","high","0.760488820915667","17"
"Propose an architecture for multi-region active-active failover.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.672; confidence=0.672; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6716604113197946","16"
"Debug a deadlock that appears only under concurrent checkout load.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.726; confidence=0.726; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7264105761235927","16"
"Compare saga vs two-phase commit for distributed order fulfillment.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.738; confidence=0.738; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7380990552439878","16"
"Design a rollout plan for enabling classifier-based routing in production.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.829; confidence=0.829; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8286821898234058","18"
"Analyze why random forests might outperform logistic regression on tabular data.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.876; confidence=0.876; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8757480520056482","20"
"Plan how to evaluate labeling quality before scaling data collection.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.760; confidence=0.760; complexity=HIGH; sensitivity=LOW -> cloud","high","0.760488820915667","17"
"Compare webhook retries vs message queues for third-party integrations.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.782; confidence=0.782; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7815310465311122","17"
"Design a fallback chain when local large models exceed memory limits.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.782; confidence=0.782; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7821418988463652","17"
"Debug inconsistent latency spikes on only one Kubernetes node pool.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.738; confidence=0.738; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7380990552439878","16"
"Analyze tradeoffs of encrypting telemetry payloads end to end.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.649; confidence=0.649; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6491162048356327","15"
"Propose monitoring dashboards for routing accuracy and cost per request.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.788; confidence=0.788; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7884377136260144","18"
"Compare online vs batch feature computation for a routing classifier.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.760; confidence=0.760; complexity=HIGH; sensitivity=LOW -> cloud","high","0.760488820915667","17"
"Design a policy DSL that expresses hard privacy rules declaratively.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.749; confidence=0.749; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7494604018087936","17"
"Debug why embedding features hurt minority-class F1 on noisy labels.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.775; confidence=0.775; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7750883293769137","17"
"Analyze cost-latency tradeoffs for quantizing a 7B model to Q3_K_M.","True","True","large_local","classifier:small_sufficient=False; complexity_score=0.761; confidence=0.761; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7611405267061652","16"
"Plan a pipeline to audit routing decisions for compliance review.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.711; confidence=0.711; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7105712788109508","16"
"Compare rules-based vs ML-based sensitivity detection for PII.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.677; confidence=0.677; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6765556375028388","15"
"Design integration tests for a router that switches between three targets.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.829; confidence=0.829; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8286821898234058","18"
"Debug why a classifier over-routes easy prompts to cloud endpoints.","True","True","large_local","classifier:small_sufficient=False; complexity_score=0.765; confidence=0.765; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7645240008816115","16"
"Analyze when to prefer a large local model over a small cloud model.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.812; confidence=0.812; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8121786778134912","17"
"Propose thresholds for escalating from small to large local inference.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.768; confidence=0.768; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7678631243797146","17"
"Compare linear models vs gradient boosting for interpretable routing.","True","True","large_local","classifier:small_sufficient=False; complexity_score=0.737; confidence=0.737; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7374061719210447","17"
"Design structured telemetry to explain every routing decision to SREs.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.774; confidence=0.774; complexity=HIGH; sensitivity=LOW -> cloud","high","0.774463402552912","17"
"Debug feature drift between training prompts and production traffic.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.726; confidence=0.726; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7256982618239354","17"
"Analyze failure modes when routers ignore sensitivity hard rules.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.689; confidence=0.689; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6886962329300224","16"
"Plan how to validate privacy guarantees before enabling cloud routing.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.768; confidence=0.768; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7678631243797146","17"
"Compare OpenTelemetry vs custom SQLite telemetry for this SDK.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.649; confidence=0.649; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6491162048356327","15"
"Design a 3-tier routing policy for complexity, sensitivity, and cost caps.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.845; confidence=0.845; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8454233303453058","18"
"Debug why multi-part GGUF shards fail to load on certain machines.","True","True","large_local","classifier:small_sufficient=False; complexity_score=0.776; confidence=0.776; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7757120260975707","16"
"Analyze latency budget for regex gate plus classifier plus local inference.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.837; confidence=0.837; complexity=HIGH; sensitivity=LOW -> cloud","high","0.83698189429999","18"
"Propose a human review workflow for disputed labeling edge cases.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.711; confidence=0.711; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7105712788109508","16"
